"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","wt1 Area","wt3 Area","wt2 Area","php1 Area","php3 Area","php2 Area","Sample Profile (Ratio)","WT Area","PHP Area","Group Profile (Ratio)","Avg. Mass","Description"
321,true,"Q4QQV4|Q4QQV4_RAT",17.42,51.38,22,22,"Acetylation (K); Carbamidomethylation; Phosphorylation (STY)",3.697802E7,3.6113512E7,3.4878704E7,3.3585908E7,3.3904452E7,3.3293292E7,1.00:0.98:0.94:0.91:0.92:0.90,3.599008E7,3.3594552E7,1.00:0.93,57360,"Histidine--tRNA ligase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Hars PE=1 SV=1"
2597,true,"A0A0G2KB52|A0A0G2KB52_RAT",15.32,7.59,3,3,"",1567314.2,1969156.9,2160854.0,1419546.8,1352416.5,1296746.2,1.00:1.26:1.38:0.91:0.86:0.83,1899108.4,1356236.5,1.00:0.71,84731,"Microtubule-associated protein 7 OS=Rattus norvegicus OX=10116 GN=Map7 PE=1 SV=1"
4498,true,"P14841|CYTC_RAT",17.53,12.14,1,1,"",2950210.2,3264254.2,2843649.8,2481857.2,2623920.0,2460720.5,1.00:1.11:0.96:0.84:0.89:0.83,3019371.5,2522166.0,1.00:0.84,15437,"Cystatin-C OS=Rattus norvegicus OX=10116 GN=Cst3 PE=1 SV=2"
1090,true,"G3V9K0|G3V9K0_RAT",8.16,17.78,9,9,"Acetylation (K); Carbamidomethylation; Phosphorylation (STY)",1.00743776E8,9.5705136E7,9.20422E7,9.4577024E7,8.7582272E7,8.8996448E7,1.00:0.95:0.91:0.94:0.87:0.88,9.6163704E7,9.0385248E7,1.00:0.94,85594,"Cysteinyl-tRNA synthetase OS=Rattus norvegicus OX=10116 GN=Cars PE=1 SV=1"
1969,false,"D3ZF07|D3ZF07_RAT",2.93,8.50,2,1,"Acetylation (K)",1322413.5,724166.7,678702.9,608609.25,0.0,797436.94,1.00:0.55:0.51:0.46:0.00:0.60,908427.7,703023.1,1.00:0.77,16806,"60S ribosomal protein L27a OS=Rattus norvegicus OX=10116 GN=RGD1560633 PE=3 SV=2"
1503,false,"A0A0G2K2R2|A0A0G2K2R2_RAT",22.01,21.22,5,5,"",2.254858E7,2.2349562E7,2.1131708E7,2.707604E7,2.8982362E7,2.5680158E7,1.00:0.99:0.94:1.20:1.29:1.14,2.201442E7,2.7251856E7,1.00:1.24,30788,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Eci1 PE=1 SV=1"
2283,false,"D4ACZ5|D4ACZ5_RAT",9.90,15.03,2,2,"Carbamidomethylation",1586727.5,1675554.0,2078041.1,2306472.0,1950898.8,2302881.2,1.00:1.06:1.31:1.45:1.23:1.45,1780107.5,2186750.5,1.00:1.23,38326,"N-myc downstream-regulated gene 3 protein OS=Rattus norvegicus OX=10116 GN=LOC679863 PE=1 SV=3"
1675,true,"A0A096MKH2|A0A096MKH2_RAT",0.08,29.45,6,6,"Carbamidomethylation; Oxidation (M); Phosphorylation (STY)",1.4232871E7,1.6212856E7,1.356286E7,1.5445579E7,1.8511418E7,1.0807351E7,1.00:1.14:0.95:1.09:1.30:0.76,1.466953E7,1.4921449E7,1.00:1.02,33975,"Similar to RIKEN cDNA 1110059P08 OS=Rattus norvegicus OX=10116 GN=Vta1 PE=1 SV=1"
1515,true,"P08753|GNAI3_RAT",13.95,17.80,7,4,"Carbamidomethylation",1646155.4,1263372.8,1723130.4,1967348.8,2322952.2,2833764.0,1.00:0.77:1.05:1.20:1.41:1.72,1585244.0,2404589.2,1.00:1.52,40522,"Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Gnai3 PE=1 SV=3"
3389,true,"P05943|S10AA_RAT",59.04,35.79,2,2,"",9.6215344E7,9.0802824E7,9.1217024E7,2.4871688E8,2.46657376E8,2.41054096E8,1.00:0.94:0.95:2.59:2.56:2.51,9.2745056E7,2.45476112E8,1.00:2.65,11075,"Protein S100-A10 OS=Rattus norvegicus OX=10116 GN=S100a10 PE=1 SV=2"
1754,true,"D4A864|D4A864_RAT",8.22,14.47,6,6,"Carbamidomethylation",5760910.0,6608468.0,6266823.0,5984138.5,5348792.0,5667974.5,1.00:1.15:1.09:1.04:0.93:0.98,6212067.0,5666968.5,1.00:0.91,71415,"Polypeptide N-acetylgalactosaminyltransferase OS=Rattus norvegicus OX=10116 GN=Galnt6 PE=3 SV=1"
2032,true,"P83871|PHF5A_RAT",1.32,46.36,4,4,"Carbamidomethylation",1.3661496E7,1.2493202E7,1.205358E7,1.2941158E7,1.2099573E7,1.2557479E7,1.00:0.91:0.88:0.95:0.89:0.92,1.2736092E7,1.2532737E7,1.00:0.98,12405,"PHD finger-like domain-containing protein 5A OS=Rattus norvegicus OX=10116 GN=Phf5a PE=2 SV=1"
3963,true,"F1M805|F1M805_RAT",6.51,2.68,1,1,"",0.0,111365.8,0.0,0.0,96336.37,107718.1,-:64.00:-:-:64.00:64.00,111365.8,102027.234,1.00:0.92,70231,"UTP6 small subunit processome component OS=Rattus norvegicus OX=10116 GN=Utp6 PE=1 SV=3"
1020,true,"Q6AYS3|Q6AYS3_RAT",20.72,26.97,11,11,"Carbamidomethylation; Phosphorylation (STY)",9.3392528E7,8.6111256E7,7.9228648E7,6.7208424E7,6.88382E7,6.3265576E7,1.00:0.92:0.85:0.72:0.74:0.68,8.6244144E7,6.6437404E7,1.00:0.77,51216,"Carboxypeptidase OS=Rattus norvegicus OX=10116 GN=Ctsa PE=1 SV=1"
1194,true,"P40307|PSB2_RAT",6.75,48.26,10,10,"Carbamidomethylation",3.6851636E7,3.49192E7,3.1632444E7,3.6184656E7,3.816608E7,3.6462292E7,1.00:0.95:0.86:0.98:1.04:0.99,3.446776E7,3.6937676E7,1.00:1.07,22912,"Proteasome subunit beta type-2 OS=Rattus norvegicus OX=10116 GN=Psmb2 PE=1 SV=1"
2441,true,"P08081|CLCA_RAT",1.63,10.08,2,2,"",4170698.8,3319223.5,5057488.0,5972957.5,3219526.2,4836406.0,1.00:0.80:1.21:1.43:0.77:1.16,4182470.2,4676296.5,1.00:1.12,26980,"Clathrin light chain A OS=Rattus norvegicus OX=10116 GN=Clta PE=1 SV=1"
3419,true,"P06766|DPOLB_RAT",15.01,7.46,2,2,"",2697788.8,2824943.8,2524542.8,2957976.8,2982861.0,3004858.8,1.00:1.05:0.94:1.10:1.11:1.11,2682425.0,2981899.0,1.00:1.11,38327,"DNA polymerase beta OS=Rattus norvegicus OX=10116 GN=Polb PE=1 SV=4"
4458,true,"E9PTF0|E9PTF0_RAT",16.54,2.29,1,1,"",156216.95,134869.58,118549.95,105077.92,81486.42,88858.56,1.00:0.86:0.76:0.67:0.52:0.57,136545.5,91807.63,1.00:0.67,54245,"RNA helicase OS=Rattus norvegicus OX=10116 GN=Ddx49 PE=3 SV=1"
346,true,"P49791|NU153_RAT",6.26,19.55,22,22,"Acetylation (K); Carbamidomethylation; Phosphorylation (STY)",5541780.0,6954356.0,6341026.0,6954705.0,7423219.5,6504938.5,1.00:1.25:1.14:1.25:1.34:1.17,6279054.0,6960954.0,1.00:1.11,152824,"Nuclear pore complex protein Nup153 OS=Rattus norvegicus OX=10116 GN=Nup153 PE=1 SV=1"
2641,false,"P51146|RAB4B_RAT",5.92,6.57,1,1,"",2323717.8,2245200.0,2408615.5,2246712.2,2205871.2,2305116.2,1.00:0.97:1.04:0.97:0.95:0.99,2325844.5,2252566.8,1.00:0.97,23629,"Ras-related protein Rab-4B OS=Rattus norvegicus OX=10116 GN=Rab4b PE=2 SV=1"
2630,true,"D4A2D8|D4A2D8_RAT",1.08,40.78,3,3,"Carbamidomethylation",1.0960132E7,9489596.0,8183861.5,1.027416E7,9523193.0,9420874.0,1.00:0.87:0.75:0.94:0.87:0.86,9544530.0,9739409.0,1.00:1.02,11618,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation-associated OS=Rattus norvegicus OX=10116 GN=Lsm7 PE=1 SV=1"
1950,true,"Q5FVJ0|RUFY3_RAT",33.22,18.12,6,6,"",5500740.0,4816881.5,4654556.0,2932888.0,2886464.0,2802254.5,1.00:0.88:0.85:0.53:0.52:0.51,4990726.0,2873868.8,1.00:0.58,52907,"Protein RUFY3 OS=Rattus norvegicus OX=10116 GN=Rufy3 PE=1 SV=1"
1607,true,"D3ZQV8|D3ZQV8_RAT",1.76,17.86,5,5,"Carbamidomethylation; Phosphorylation (STY)",1632457.6,1684954.5,2244048.0,1685439.9,1660050.5,1894769.8,1.00:1.03:1.37:1.03:1.02:1.16,1853820.0,1746753.4,1.00:0.94,41097,"PHD finger protein 6 OS=Rattus norvegicus OX=10116 GN=Phf6 PE=1 SV=1"
4173,true,"Q63357|MYO1D_RAT",1.17,0.99,1,1,"",731378.25,611834.94,499478.25,766781.3,684737.44,500586.53,1.00:0.84:0.68:1.05:0.94:0.68,614230.5,650701.75,1.00:1.06,116095,"Unconventional myosin-Id OS=Rattus norvegicus OX=10116 GN=Myo1d PE=1 SV=3"
1376,true,"Q02769|FDFT_RAT",2.75,29.33,9,9,"Carbamidomethylation",1.3225848E7,2.06481E7,2.126581E7,1.9478304E7,2.1151452E7,1.9435216E7,1.00:1.56:1.61:1.47:1.60:1.47,1.837992E7,2.0021658E7,1.00:1.09,48106,"Squalene synthase OS=Rattus norvegicus OX=10116 GN=Fdft1 PE=1 SV=1"
1429,true,"Q99ND8|Q99ND8_RAT",8.88,19.78,7,5,"Carbamidomethylation",4182962.2,4978059.5,4713751.5,5277617.5,4962770.5,5112860.0,1.00:1.19:1.13:1.26:1.19:1.22,4624924.5,5117749.5,1.00:1.11,51010,"Protein-serine/threonine phosphatase OS=Rattus norvegicus OX=10116 GN=Ppm1b PE=1 SV=1"
2278,true,"Q9JID2|GNA11_RAT",12.79,1.95,4,1,"",1332696.4,997281.75,1021816.06,895810.5,763080.8,847754.94,1.00:0.75:0.77:0.67:0.57:0.64,1117264.8,835548.75,1.00:0.75,42026,"Guanine nucleotide-binding protein subunit alpha-11 OS=Rattus norvegicus OX=10116 GN=Gna11 PE=2 SV=1"
1171,true,"D3ZCS4|D3ZCS4_RAT",0.61,5.45,10,8,"Carbamidomethylation",1348978.5,1138183.0,1280245.6,1597838.2,956792.25,1400468.4,1.00:0.84:0.95:1.18:0.71:1.04,1255802.4,1318366.2,1.00:1.05,185304,"IQ motif-containing GTPase-activating protein 3 OS=Rattus norvegicus OX=10116 GN=Iqgap3 PE=1 SV=1"
4098,true,"A0A0G2K0C9|A0A0G2K0C9_RAT",6.50,1.99,1,1,"",278568.5,199029.69,241824.45,326834.3,289908.94,245649.77,1.00:0.71:0.87:1.17:1.04:0.88,239807.55,287464.34,1.00:1.20,83741,"Poly(A) polymerase OS=Rattus norvegicus OX=10116 GN=Papola PE=1 SV=1"
1719,true,"G3V9M3|G3V9M3_RAT",8.22,10.31,7,7,"Carbamidomethylation",2779718.2,2270096.2,2302281.2,2320862.5,2067504.0,1925472.4,1.00:0.82:0.83:0.83:0.74:0.69,2450698.5,2104613.0,1.00:0.86,102379,"RCG28460 OS=Rattus norvegicus OX=10116 GN=Wdr47 PE=1 SV=1"
4192,true,"Q6REY9|RHG20_RAT",31.83,1.35,1,1,"Phosphorylation (STY)",4379831.5,4733509.5,4425705.0,3337685.0,3202616.5,3436081.8,1.00:1.08:1.01:0.76:0.73:0.78,4513015.5,3325461.0,1.00:0.74,131138,"Rho GTPase-activating protein 20 OS=Rattus norvegicus OX=10116 GN=Arhgap20 PE=1 SV=2"
3253,true,"P07756|CPSM_RAT",2.51,1.13,2,1,"Phosphorylation (STY)",461389.97,614825.25,532625.25,557280.9,504134.62,673786.2,1.00:1.33:1.15:1.21:1.09:1.46,536280.1,578400.56,1.00:1.08,164580,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Rattus norvegicus OX=10116 GN=Cps1 PE=1 SV=1"
158,true,"D3Z941|D3Z941_RAT",0.03,55.21,33,33,"Carbamidomethylation",3.6708372E7,3.5765604E7,3.4795884E7,3.4932948E7,3.7634288E7,3.4782072E7,1.00:0.97:0.95:0.95:1.03:0.95,3.5756624E7,3.5783104E7,1.00:1.00,101582,"Methionine--tRNA ligase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Mars PE=1 SV=1"
3548,true,"Q9JK64|Q9JK64_RAT",1.13,0.94,1,1,"",117127.35,76029.086,74799.06,93191.28,72009.43,120698.97,1.00:0.65:0.64:0.80:0.61:1.03,89318.5,95299.89,1.00:1.07,140327,"Multidrug resistance protein 1a OS=Rattus norvegicus OX=10116 GN=Abcb1a PE=1 SV=1"
3600,true,"B2GV94|B2GV94_RAT",6.61,3.22,1,1,"",0.0,205804.08,0.0,183036.42,243734.77,0.0,-:64.00:-:64.00:64.00:-,205804.08,213385.6,1.00:1.04,51528,"Fam134c protein OS=Rattus norvegicus OX=10116 GN=Retreg3 PE=1 SV=1"
1543,false,"F1M5A9|F1M5A9_RAT",8.58,10.05,3,3,"Oxidation (M)",2.9788096E7,2.7413512E7,2.9300272E7,2.6648684E7,2.8316274E7,2.5863484E7,1.00:0.92:0.98:0.89:0.95:0.87,2.883396E7,2.6942814E7,1.00:0.93,22563,"60S ribosomal protein L19 OS=Rattus norvegicus OX=10116 GN=RGD1562420 PE=3 SV=1"
1035,true,"B1WC02|B1WC02_RAT",1.65,19.80,10,8,"Carbamidomethylation",5304250.5,6180193.0,5639126.5,6224976.0,5206350.0,5165254.0,1.00:1.17:1.06:1.17:0.98:0.97,5707856.5,5532193.5,1.00:0.97,66640,"CTP synthase OS=Rattus norvegicus OX=10116 GN=Ctps1 PE=1 SV=1"
1984,true,"P19836|PCY1A_RAT",16.77,26.70,6,6,"Carbamidomethylation",3444239.0,4770164.5,3860289.5,5427214.0,6472681.0,5978269.0,1.00:1.38:1.12:1.58:1.88:1.74,4024897.5,5959388.0,1.00:1.48,41681,"Choline-phosphate cytidylyltransferase A OS=Rattus norvegicus OX=10116 GN=Pcyt1a PE=1 SV=2"
245,true,"F1LX07|F1LX07_RAT",2.51,51.45,25,20,"Carbamidomethylation",3.7739036E7,3.3594172E7,3.0654344E7,4.4086984E7,2.347339E7,2.5338212E7,1.00:0.89:0.81:1.17:0.62:0.67,3.3995848E7,3.0966196E7,1.00:0.91,71917,"Solute carrier family 25 member 12 OS=Rattus norvegicus OX=10116 GN=Slc25a12 PE=1 SV=3"
43,true,"Q5SGE0|LPPRC_RAT",30.33,44.97,51,51,"Acetylation (K); Carbamidomethylation",2.1085856E7,2.1908012E7,2.077495E7,1.7953118E7,1.7085588E7,1.7701548E7,1.00:1.04:0.99:0.85:0.81:0.84,2.1256272E7,1.7580086E7,1.00:0.83,156653,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Lrpprc PE=1 SV=1"
2354,true,"G3V7L1|UTRN_RAT",20.50,1.64,4,4,"Carbamidomethylation",1006008.1,526265.6,554339.7,2192750.5,1684624.4,1875775.2,1.00:0.52:0.55:2.18:1.67:1.86,731259.56,1917716.8,1.00:2.62,391312,"Utrophin OS=Rattus norvegicus OX=10116 GN=Utrn PE=1 SV=3"
375,true,"B1WC61|ACAD9_RAT",2.43,41.12,20,20,"Carbamidomethylation",1.6752246E7,1.7508064E7,1.675348E7,1.7035364E7,1.7123238E7,1.6096158E7,1.00:1.05:1.00:1.02:1.02:0.96,1.7004596E7,1.6751586E7,1.00:0.99,68843,"Complex I assembly factor ACAD9, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acad9 PE=1 SV=1"
193,true,"Q9JIL3|ILF3_RAT",12.93,47.71,29,28,"Carbamidomethylation",1.7200442E7,1.4990187E7,1.5686844E7,1.4727142E7,1.2455674E7,1.273462E7,1.00:0.87:0.91:0.86:0.72:0.74,1.5959158E7,1.3305812E7,1.00:0.83,95935,"Interleukin enhancer-binding factor 3 OS=Rattus norvegicus OX=10116 GN=Ilf3 PE=1 SV=2"
867,false,"A0A0G2K6H7|A0A0G2K6H7_RAT",5.22,51.52,7,7,"Carbamidomethylation",5.533872E7,5.1749024E7,6.2681376E7,5.5296488E7,3.4378108E7,5.3024308E7,1.00:0.94:1.13:1.00:0.62:0.96,5.6589704E7,4.75663E7,1.00:0.84,16189,"Calpain small subunit 1-like OS=Rattus norvegicus OX=10116 GN=LOC108348197 PE=4 SV=1"
1142,true,"P85971|6PGL_RAT",1.38,56.42,10,10,"Carbamidomethylation",4.69574E7,5.4315088E7,5.1813076E7,4.971232E7,4.9642944E7,5.0983004E7,1.00:1.16:1.10:1.06:1.06:1.09,5.102852E7,5.0112756E7,1.00:0.98,27234,"6-phosphogluconolactonase OS=Rattus norvegicus OX=10116 GN=Pgls PE=1 SV=1"
1510,true,"Q6MGC4|Q6MGC4_RAT",9.79,57.48,8,8,"",4.5334644E7,4.468098E7,4.6108152E7,4.4566108E7,3.9189196E7,4.2066924E7,1.00:0.99:1.02:0.98:0.86:0.93,4.5374592E7,4.1940744E7,1.00:0.92,14498,"H2-K region expressed gene 2, rat orthologue OS=Rattus norvegicus OX=10116 GN=Pfdn6 PE=1 SV=1"
594,false,"M0RCH0|M0RCH0_RAT",2.00,53.17,15,15,"Carbamidomethylation",4.6347536E7,4.2595824E7,4.3613176E7,4.3714384E7,4.4725796E7,4.1930728E7,1.00:0.92:0.94:0.94:0.97:0.90,4.4185512E7,4.3456968E7,1.00:0.98,37165,"Eukaryotic translation initiation factor 3 subunit I OS=Rattus norvegicus OX=10116 GN=EIF3I PE=1 SV=2"
2100,true,"Q4V886|PAF1_RAT",5.45,12.90,5,5,"",4405880.0,4377230.0,4219605.5,4161613.5,3888043.2,4382703.0,1.00:0.99:0.96:0.94:0.88:0.99,4334238.5,4144120.0,1.00:0.96,60546,"RNA polymerase II-associated factor 1 homolog OS=Rattus norvegicus OX=10116 GN=Paf1 PE=2 SV=1"
2430,true,"Q62696|DLG1_RAT",22.59,6.59,4,4,"Carbamidomethylation",2480745.5,2129268.5,2425270.5,1733272.2,1646293.1,1815588.4,1.00:0.86:0.98:0.70:0.66:0.73,2345095.0,1731718.0,1.00:0.74,100571,"Disks large homolog 1 OS=Rattus norvegicus OX=10116 GN=Dlg1 PE=1 SV=1"
887,true,"O35509|RB11B_RAT",11.41,25.69,13,3,"",1.5217908E7,1.632217E7,1.5958807E7,1.5201661E7,1.5003543E7,1.481057E7,1.00:1.07:1.05:1.00:0.99:0.97,1.5832961E7,1.5005258E7,1.00:0.95,24488,"Ras-related protein Rab-11B OS=Rattus norvegicus OX=10116 GN=Rab11b PE=1 SV=4"
3984,true,"Q4QQU1|BUD13_RAT",0.24,2.99,1,1,"",528101.6,182619.19,240622.45,231396.62,253415.56,429220.2,1.00:0.35:0.46:0.44:0.48:0.81,317114.44,304677.47,1.00:0.96,71869,"BUD13 homolog OS=Rattus norvegicus OX=10116 GN=Bud13 PE=1 SV=1"
473,true,"B5DFN2|SAHH2_RAT",13.98,33.75,19,9,"Carbamidomethylation",1.6163202E7,1.5358801E7,1.572927E7,1.7453654E7,1.6313291E7,1.730487E7,1.00:0.95:0.97:1.08:1.01:1.07,1.5750424E7,1.7023938E7,1.00:1.08,53753,"S-adenosylhomocysteine hydrolase-like protein 1 OS=Rattus norvegicus OX=10116 GN=Ahcyl1 PE=1 SV=2"
1404,false,"M0R6L3|M0R6L3_RAT",1.96,11.33,2,2,"",1959363.8,2586813.2,3254256.2,2727882.0,1909286.6,2403757.8,1.00:1.32:1.66:1.39:0.97:1.23,2600144.5,2346975.5,1.00:0.90,17679,"60S ribosomal protein L26-like OS=Rattus norvegicus OX=10116 GN=LOC100910721 PE=3 SV=2"
2791,true,"Q5M9F8|SCYL1_RAT",31.84,6.20,3,3,"Carbamidomethylation",798990.3,941204.2,682763.06,2219432.2,2194281.8,1953664.2,1.00:1.18:0.85:2.78:2.75:2.45,807652.5,2122459.2,1.00:2.63,89126,"N-terminal kinase-like protein OS=Rattus norvegicus OX=10116 GN=Scyl1 PE=2 SV=1"
3062,true,"D4ACM2|D4ACM2_RAT",3.97,14.15,2,2,"",1208569.6,845332.5,1001620.0,1015531.3,783843.25,897952.1,1.00:0.70:0.83:0.84:0.65:0.74,1018507.4,899108.9,1.00:0.88,23539,"MAD2 (Mitotic arrest deficient, homolog)-like 1 (Yeast) (Predicted), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Mad2l1 PE=1 SV=1"
3277,true,"Q63707|PYRD_RAT",25.08,9.87,2,2,"",737231.56,722582.25,648530.94,183218.56,319587.72,248263.97,1.00:0.98:0.88:0.25:0.43:0.34,702781.56,250356.75,1.00:0.36,42663,"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Rattus norvegicus OX=10116 GN=Dhodh PE=1 SV=1"
1790,true,"D4ABK7|D4ABK7_RAT",9.32,15.32,6,4,"",8094694.0,7016684.5,6941767.0,8243575.5,8418542.0,7839447.0,1.00:0.87:0.86:1.02:1.04:0.97,7351048.5,8167188.0,1.00:1.11,36869,"Heterogeneous nuclear ribonucleoprotein H3 (2H9) (Predicted), isoform CRA_c OS=Rattus norvegicus OX=10116 GN=Hnrnph3 PE=1 SV=1"
3967,true,"Q920B6|KCNK2_RAT",0.96,3.05,1,1,"Phosphorylation (STY)",321644.47,213125.08,688408.0,382713.53,0.0,264769.5,1.00:0.66:2.14:1.19:0.00:0.82,407725.84,323741.5,1.00:0.79,46912,"Potassium channel subfamily K member 2 OS=Rattus norvegicus OX=10116 GN=Kcnk2 PE=1 SV=1"
1853,true,"P11915|SCP2_RAT",2.53,7.68,6,6,"",1.4727974E7,1.2420168E7,1.2716494E7,1.3623632E7,1.2200239E7,1.2394971E7,1.00:0.84:0.86:0.93:0.83:0.84,1.3288212E7,1.2739614E7,1.00:0.96,58813,"Sterol carrier protein 2 OS=Rattus norvegicus OX=10116 GN=Scp2 PE=1 SV=3"
1521,true,"Q6TUG0|DJB11_RAT",4.05,29.89,8,8,"Carbamidomethylation",5.0453208E7,4.8055068E7,4.4833776E7,4.5898356E7,4.6164324E7,4.6479888E7,1.00:0.95:0.89:0.91:0.91:0.92,4.7811648E7,4.619806E7,1.00:0.97,40495,"DnaJ homolog subfamily B member 11 OS=Rattus norvegicus OX=10116 GN=Dnajb11 PE=2 SV=1"
2618,true,"D4AD37|IMPA3_RAT",23.07,13.20,3,3,"",1802558.5,1619794.5,1767110.4,1431950.9,1321800.9,1307410.8,1.00:0.90:0.98:0.79:0.73:0.73,1729821.1,1353720.8,1.00:0.78,38569,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase OS=Rattus norvegicus OX=10116 GN=Bpnt2 PE=3 SV=1"
1601,true,"A0A0G2K1Z9|A0A0G2K1Z9_RAT",0.06,20.63,6,6,"",1.687303E7,3.3619184E7,3.2046728E7,2.3752624E7,2.888083E7,2.614726E7,1.00:1.99:1.90:1.41:1.71:1.55,2.7512982E7,2.6260238E7,1.00:0.95,41776,"Histocompatibility 13 (Predicted), isoform CRA_d OS=Rattus norvegicus OX=10116 GN=Hm13 PE=1 SV=1"
1852,false,"P39032|RL36_RAT",8.61,23.81,4,4,"Oxidation (M)",7.3430656E7,6.4581816E7,7.17902E7,6.7936384E7,5.7829168E7,6.1655488E7,1.00:0.88:0.98:0.93:0.79:0.84,6.9934224E7,6.247368E7,1.00:0.89,12268,"60S ribosomal protein L36 OS=Rattus norvegicus OX=10116 GN=Rpl36 PE=1 SV=2"
3078,true,"P62864|RS30_RAT",6.24,18.64,2,2,"",3.1405898E7,3.75761E7,3.4708272E7,3.5654128E7,3.8741596E7,3.7646368E7,1.00:1.20:1.11:1.14:1.23:1.20,3.4563424E7,3.7347364E7,1.00:1.08,6648,"40S ribosomal protein S30 OS=Rattus norvegicus OX=10116 GN=Fau PE=1 SV=1"
